row_label,All R cases — Number,All R cases — Percent,RC cases — Number,RC cases — Percent,RM cases — Number,RM cases — Percent,RD cases — Number,RD cases — Percent,UD cases — Number,UD cases — Percent
"Total, all",13465,100.0,10796,100.0,831,100.0,1838,100.0,328,100.0
"Certification issued, total",8642,64.2,7481,69.3,329,39.5,841,45.8,184,56.1
After Consent election,506,3.8,400,3.7,25,3.0,81,4.4,15,4.6
Stipulated election,6536,48.5,5689,52.7,214,25.6,634,34.5,101,30.8
Expedited election,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Regional director directed election,1518,11.3,1348,12.5,4,0.5,99,5.4,67,20.7
Board directed election,45,0.3,41,0.4,4,0.5,0,0.0,0,0.0
By withdrawal,3638,27.0,2720,25.2,399,47.9,409,33.1,106,32.3
Before issuance of notice of hearing (withdrawal),1512,11.2,901,8.3,215,25.9,296,16.1,95,29.0
"After issuance of notice, before hearings closed (withdrawal)",1825,13.5,1569,14.5,184,22.1,91,4.9,5,1.5
By dismissal,1185,8.8,595,5.5,202,24.3,388,21.1,38,11.6
