Standard Federal region,All cases,Subcategory columns (All C / All R / etc.; not parsed)
Minnesota,489,
Ohio,2074,
Wisconsin,905,
Region V (total),10404,
Arkansas,287,
Louisiana,457,
New Mexico,138,
Oklahoma,227,
Texas,1648,
Region VI (total),2553,
Iowa,421,
Kansas,271,
Missouri,1400,
Nebraska,176,
Region VII (total),2360,
Colorado,344,
Montana,270,
North Dakota,31,
South Dakota,75,
Utah,175,
Wyoming,36,
Region VIII (total),1131,
Arizona,287,
California,3902,
Hawaii,189,
Nevada,80,
Region IX (total),5237,
Alaska,63,
Idaho,65,
Oregon,467,
Washington,688,
Region X (total),1283,
"Total, all Federal regions",41030,
