row_label,Division and State,Total decided,Number of elections in which representative chosen — Total,Number of elections in which representative chosen — AFL-CIO unions,Number of elections in which representative chosen — Teamsters,Number of elections in which representative chosen — Other national unions,Number of elections in which representative chosen — Other local unions,Number of elections — No representative chosen,Total employees eligible to vote,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO unions,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national unions,Valid votes cast for unions — Other local unions,Valid votes cast for no union,Eligible employees in elections won by unions
Nevada,29,8,4,0,0,4,13,927,476,,,,,,542,
Pacific (Division total),813,437,210,106,13,108,376,33401,13500,4016,4071,,,14807,17533,
Outlying Areas (subtotal),33,16,,,,,17,1742,,,,,,,,
"Total, All States and Areas",4153,1921,1099,,,,2232,245692,102758,60959,18100,4314,10361,113134,97043,
