row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Hearing completed, total",2701,2397,2181,114,102,4
Initial hearings Hearings on objections and/or challenges,"2,455 246","2,161 236","1,968 213",98 16,95 7,2 2
"Decisions issued, total _",2313,2087,1901,92,94,2
By regional director's,2088,1947,1780,80,87,2
Elections directed Dismissals on record,"1,825 263","1,716 231","1,681 199",66 14,69 18,2 o
By Board,225,140,121,12,7,o
After transfer by regional directors for initial decision,193,109,94,10,5,0
Elections directed Dismissals on record,118 75,80 29,72 22,3 7,5 0,0 0
After review of regional directors' decision,32,31,27,2,2,o
Elections directed Dismissals on record,23 9,22 9,20 7,1 1,1 1,o
"Decisions on objections and/or challenges, total",890,875,810,47,18,9
By regional directors,326,317,' 298,13,6,6
By Board,564,558,512,34,12,3
In stipulated elections,535,529,484,34,11,0
No exceptions to regional directors' report Exceptions to regional directors' reports,330 206,327 202,297 187,22 12,8 3,0 o
In directed elections (after transfn by regional directors) _,22,22,21,0,1,i
In directed elections after review of regional direc- tors supplemental decisions,7,7,7,0,0,2
