Type of election,All R elections — Elections conducted — Total elections,All R elections — Elections conducted — Withdrawn or dismissed before certification,All R elections — Elections conducted — Resulting in a rerun or runoff,All R elections — Elections conducted — Resulting in certification,RC elections — Elections conducted — Total elections,RC elections — Elections conducted — Withdrawn or dismissed before certification,RC elections — Elections conducted — Resulting in a rerun or runoff,RC elections — Elections conducted — Resulting in certification,RM elections — Elections conducted — Total elections,RM elections — Elections conducted — Withdrawn or dismissed before certification,RM elections — Elections conducted — Resulting in a rerun or runoff,RM elections — Elections conducted — Resulting in certification,RD elections — Elections conducted — Total elections,RD elections — Elections conducted — Withdrawn or dismissed before certification,RD elections — Elections conducted — Resulting in a rerun or runoff,RD elections — Elections conducted — Resulting in certification
All representation elections,2181,36,47,2098,1778,30,42,1706,39,0,0,39,364,6,5,353
Rerun required,,,42,,,,38,,,,0,,,,4,
Runoff required,,,5,,,,4,,,,0,,,,1,
Consent elections,70,0,0,70,61,0,0,61,1,0,0,1,8,0,0,8
Stipulated elections,1746,25,29,1692,1384,21,25,1338,34,0,0,34,328,4,4,320
Regional Director-directed,363,11,18,334,331,9,17,305,4,0,0,4,28,2,1,25
Board-directed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Expedited Sec. 8(b)(7)(C),2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0
