Circuit courts of appeals (headquarters),Total fiscal year 1966,Total cumulative fiscal years 1961-65,Affirmed in full / Fiscal year 1966 Num,Affirmed in full / Fiscal year 1966 Pct,Affirmed in full / Cumulative 1961-65 Num,Affirmed in full / Cumulative 1961-65 Pct,Modified / Fiscal year 1966 Num,Modified / Fiscal year 1966 Pct,Modified / Cumulative 1961-65 Num,Modified / Cumulative 1961-65 Pct,Remanded in full / Fiscal year 1966 Num,Remanded in full / Fiscal year 1966 Pct,Remanded in full / Cumulative 1961-65 Num,Remanded in full / Cumulative 1961-65 Pct,Affirmed in part and remanded in part / Fiscal year 1966 Num,Affirmed in part and remanded in part / Fiscal year 1966 Pct,Affirmed in part and remanded in part / Cumulative 1961-65 Num,Affirmed in part and remanded in part / Cumulative 1961-65 Pct,Set aside / Fiscal year 1966 Num,Set aside / Fiscal year 1966 Pct,Set aside / Cumulative 1961-65 Num,Set aside / Cumulative 1961-65 Pct
Total all circuits,231,950,134,58.0,523,54.7,41,17.7,191,20.1,12,,51,5.4,7,,16,1.7,37,16.0,172,18.1
"1. Boston, Mass.",22,53,18,81.0,29,55.2,,,11,20.7,,,5,9.4,1,5.3,7,13.3,,,0,
Per-circuit,,,,,,,,,,,,,,,,,,,,,,
