row_label,Participating unions,Total elections,Elections won by unions / Percent won,Elections won by unions / Total,Elections won by unions / AFL-CIO unions,Elections won by unions / Other national unions,Elections won by unions / Other local unions,Elections in which no representative chosen,Employees eligible to vote / Total,Employees eligible to vote / In elections won by unions / AFL-CIO unions,Employees eligible to vote / In elections won by unions / Other national unions,Employees eligible to vote / In elections won by unions / Other local unions,In elections where no representative chosen
Total RC elections,2860,50.9,1456,1273,48,135,1404,191825,76365,65925,2797,7641,115462
Total RM elections,51,23.5,12,11,0,1,39,1105,357,347,0,10,752
Total RD elections (partial),486,29.2,142,135,1,6,354,22110,9867,8885,192,790,12243
Other rows,,,,,,,,,,,,,
