Stage,Number of cases / Total,Number of cases / Identification of complainant or petitioner — AFL-CIO affiliates,Number of cases / Identification of complainant or petitioner — Unaffiliated unions,Number of cases / Identification of complainant or petitioner — Individuals,Number of cases / Identification of complainant or petitioner — Employers
"All cases 1 — Pending July 1, 1959",7663,2487,1199,3045,932
All cases — Received fiscal 1960,21527,8669,4672,5987,2199
All cases — On docket fiscal 1960,29190,11156,5871,9032,3131
All cases — Closed fiscal 1960,22183,8603,4599,6747,2234
"All cases — Pending June 30, 1960",7007,2553,1272,2285,897
"Unfair labor practice cases — Pending July 1, 1959",5425,1228,479,2938,780
Unfair labor practice cases — Received fiscal 1960,11357,3207,1356,5325,1469
Unfair labor practice cases — On docket fiscal 1960,16782,4435,1835,8263,2249
Unfair labor practice cases — Closed fiscal 1960,11924,3057,1308,6090,1469
"Unfair labor practice cases — Pending June 30, 1960",4858,1378,527,2173,780
"Representation cases — Pending July 1, 1959",2230,1259,720,99,152
Representation cases — Received fiscal 1960,10130,5460,3315,625,730
Representation cases — On docket fiscal 1960,12360,6719,4035,724,882
Representation cases — Closed fiscal 1960,10218,5544,3290,619,765
"Representation cases — Pending June 30, 1960",2142,1175,745,105,117
"Union-shop deauthorization cases — Pending July 1, 1959",8,0,0,8,
Union-shop deauthorization cases — Received fiscal 1960,40,2,1,37,
Union-shop deauthorization cases — On docket fiscal 1960,48,2,1,45,
Union-shop deauthorization cases — Closed fiscal 1960,41,2,1,38,
"Union-shop deauthorization cases — Pending June 30, 1960",7,0,0,7,
