row_label,Number eligible to vote,Total elections,Percent of total,Cumulative percent of total,AFL-CIO unions — Number,AFL-CIO unions — Percent by size class,Teamsters — Number,Teamsters — Percent by size class,Other national unions — Number,Other national unions — Percent by size class,Other local unions — Number,Other local unions — Percent by size class,Elections in which no representative was chosen — Number,Elections in which no representative was chosen — Percent by size class
Total RD elections,39138,869,100.0,,141,100.0,52,100.0,4,100.0,10,100.0,662,100.0
Under 10,1299,246,28.3,28.3,7,5.0,11,21.2,0,0.0,2,20.0,226,34.4
10 to 19,3067,217,25.0,53.3,26,18.4,13,25.0,0,0.0,3,30.0,175,26.4
20 to 29,2614,108,12.4,65.7,21,14.9,9,17.3,1,25.0,2,20.0,75,11.3
30 to 39,2219,64,7.4,73.1,13,9.2,4,7.7,0,0.0,3,30.0,44,6.6
40 to 49,2185,50,5.8,78.9,16,11.4,4,7.7,0,0.0,0,0.0,30,4.6
500 and over,1284,6,0.7,100.0,0,0.0,0,0.0,0,0.0,0,0.0,6,0.9
