Action taken,Total all,Remedial action taken by— / Employer / Total,Remedial action taken by— / Employer / Pursuant to— / Agreement of parties / Informal settlement,Remedial action taken by— / Employer / Pursuant to— / Agreement of parties / Formal settlement,Remedial action taken by— / Employer / Pursuant to— / Recommendation of administrative law judge,Remedial action taken by— / Employer / Pursuant to— / Order of— / Board,Remedial action taken by— / Employer / Pursuant to— / Order of— / Court,Remedial action taken by— / Union / Total,Remedial action taken by— / Union / Pursuant to— / Agreement of parties / Informal settlement,Remedial action taken by— / Union / Pursuant to— / Agreement of parties / Formal settlement,Remedial action taken by— / Union / Pursuant to— / Recommendation of administrative law judge,Remedial action taken by— / Union / Pursuant to— / Order of— / Board/Court
B. By number of employees affected—Continued,,,,,,,,,,,,
Employees placed on preferential hiring list,906,906,807,45,,14,40,,,,,
Hiring hall rights restored,106,,,,,,,106,37,53,3,13
Objections to employment withdrawn,179,,,,,,,179,105,59,,
Employees receiving backpay: From either employer or union,7227,6822,4683,359,6,936,838,405,183,46,,27
From both employer and union,11,11,11,,,,,11,11,,,
"Employees reimbursed for fees, dues, and fines: From either employer or union",3047,2047,1043,584,,126,294,,1000,693,13,108
From both employer and union,6,,,,,,,,,,,
"C. By amounts of monetary recovery, total",11796664,11295384,7554004,571450,12250,794710,2362830,,501300,253330,70750,"$87,310 / $49,870"
"Backpay (includes all monetary payments except fees, dues, and fines)",11635895,11189245,7500505,550140,12250,775000,2351350,,446640,200800,70210,"71,250 / 44,280"
"Reimbursement of fees, dues, and fines",160779,106139,53589,21340,,19710,11480,,54680,32530,480,"16,160 / 5,540"
