Year and month,Number of workers involved in cases brought before Board (1),Number of workers involved in strikes For all causes (2),Number of workers involved in strikes For organization (3),Ratio of Board cases to strikes Percent for all causes [(1) over (2)],Ratio of Board cases to strikes Percent for organization [(1) over (3)]
1935,,,,,
October,47790,92357,28213,52,169
November,47580,34661,8259,137,576
December,27580,14133,4059,195,679
Total (1935),523138,763783,419538,68,125
1936,,,,,
January,20346,30001,7225,68,282
February,5424,62259,35898,9,15
March,19300,74475,13811,26,140
April,11646,62551,44484,19,26
May,26460,71625,45388,37,58
June,34739,61243,29250,57,119
July,31936,36115,11893,88,269
August,8555,64510,46232,13,19
September,9114,60555,29750,15,31
October,27335,96608,66898,28,41
November,309187,70515,33795,438,915
December,18986,73326,53333,26,35
Total (1936),2339631,1816847,1051528,129,222
1937,,,,,
January,24744,106076,73202,23,34
February,74870,106910,40949,70,183
March,49187,281387,188049,17,26
April,159051,214760,114985,74,138
May,315470,203622,229936,98,137
June,399737,278783,131574,133,281
July,305049,139976,72173,218,423
August,304267,134078,91125,227,334
September,180281,84033,50387,214,358
October,175351,61395,25923,287,679
November,225410,66168,20286,341,1111
December,155634,21760,14954,715,1041
1938,,,,,
January,121113,32357,13312,374,910
February,106172,50935,5719,208,1856
March,154868,53914,20395,287,759
April,176414,75840,20390,233,865
May,92907,80792,15810,107,588
June,102813,49602,23368,207,440
