row_label,Elections and cross checks / Number,Elections and cross checks / Percent of total,Eligible voters / Number,Eligible voters / Percent of total,Eligible voters / Percent casting valid votes
1 union,5442,78.7,450199,48.2,86.1
2 unions,1406,20.3,456116,48.8,86.3
3 or more unions,72,1.0,28238,3.0,85.3
