row_label,col_1,col_2,col_3,col_4
Cases decided by U.S. courts of appeals,148,100..0,2277,100.0
Board orders enforced in full,84,56.8,1312,57.6
Board orders enforced with modification_,23,15.5,459,• 20.2
Remanded to Board,14,9.5,87,3.8
Board orders partially enforced and partially remanded,4,2.7',23,1.0
Board orders set aside,23,15.5,396,17.4
Cases decided by U.S. Supreme Omit,8,100.0,142,100.0
Board orders enforced in f1311,6.,' 75.0,88,6L9
Board orders enforced with modification,0,.0,13,9.2
Board orderd set aside,0,.0,24,16.9
Remanded to Board,0,.0,3,2.1
Remanded to court of appeals,.2,25.0,11,7.7
Board's request for remand or modification of enforcement order denied,0,.0,1,.8
Contempt case remanded to court of appeals,0,.0,1,.7
Contempt cases enforced,0,.0,1,. 7
