Union affiliation,Elections in which union participated / Number,Elections in which union participated / Number of eligible voters,Elections in which union participated / Number of valid votes cast,Elections won by union / Number,Elections won by union / Percent of elections in which union participated,Valid votes cast for union / Number,Valid votes cast for union / Percent of total votes in elections in which union participated
A. F. of L.,3011,437772,359672,2004,66.6,175332,48.7
C. I. O.,2914,579275,479394,1958,67.2,263641,55.0
Unaffiliated,722,210737,171364,484,67.0,90874,53.0
