Division and State,Number of elections,Elections won by — A.F. of L. affiliates,Elections won by — C.I.O. affiliates,Elections won by — Unaffiliated unions,Elections won by — No union,Eligible voters,Total valid votes cast,Valid votes cast for — A.F. of L. affiliates,Valid votes cast for — C.I.O. affiliates,Valid votes cast for — Unaffiliated unions,Valid votes cast for — No union
West South Central,6,0,3,1,2,463,418,2,239,9,168
West South Central — Louisiana,1,0,0,1,0,9,9,2,0,9,7
West South Central — Texas,5,0,3,0,2,454,409,0,239,0,161
Mountain,2,0,0,0,2,24,22,0,1,4,17
Mountain — Colorado,2,0,0,0,2,24,22,0,1,4,17
Pacific,10,1,0,1,8,532,510,101,0,93,316
Pacific — Washington,1,1,0,0,0,8,8,8,0,0,0
Pacific — Oregon,1,0,0,0,1,17,17,0,0,0,16
Pacific — California,8,0,0,1,7,507,485,92,0,93,300
Outlying areas,6,0,0,1,5,320,298,49,12,0,237
Outlying areas — Hawaii,6,0,0,1,5,320,298,49,12,0,237
