Affiliation of union holding union-shop contract,Number of polls / Total,Number of polls / Resulting in deauthorization / Number,Number of polls / Resulting in deauthorization / Percent of total,Number of polls / Resulting in continued authorization / Number,Number of polls / Resulting in continued authorization / Percent of total,Employees involved (number eligible to vote) 1 / Total eligible,Employees involved (number eligible to vote) 1 / In polls / Resulting in deauthorization Number,Employees involved (number eligible to vote) 1 / In polls / Resulting in deauthorization Percent of total,Employees involved (number eligible to vote) 1 / In polls / Resulting in continued authorization Number,Employees involved (number eligible to vote) 1 / In polls / Resulting in continued authorization Percent of total,Valid votes cast / Total,Valid votes cast / Percent of total eligible,Valid votes cast / Cast for deauthorization / Number,Valid votes cast / Cast for deauthorization / Percent of total eligible
Total,34,23,67 6,11,32 4,2811,975,34 7,1836,65 3,2072,73 7,1485,52 8
AFL-CIO,23,15,65 2,8,34 8,2220,613,27 6,1607,72 4,1591,71 7,1123,50 6
Teamsters,7,5,71 4,2,28 6,358,219,61 2,139,38 8,267,74 6,174,48 6
Other national unions,1,0,0,1,100 0,90,0,0,90,100 0,72,80 0,43,47 8
Local unaffiliated unions,3,3,100 0,0,0,143,143,100 0,0,0,142,99 3,135,94 4
