Stage of disposition,All R cases Number of cases,All R cases Percent of cases closed,CR cases Number of cases,CR cases Percent of cases closed,RM cases Number of cases,RM cases Percent of cases closed,RD cases Number of cases,RD cases Percent of cases closed,UD cases Number of cases,UD cases Percent of cases closed
Total number of cases closed,15436,100.0,12471,100.0,1098,100.0,1867,100.0,332,100.0
Before issuance of notice of hearing,5584,36.3,3858,30.9,696,63.2,1030,55.2,213,64.1
After issuance of notice before close of hearing,7068,45.7,6186,49.6,238,24.6,614,32.8,23,7.6
After hearing closed before issuance of decision,195,1.2,164,1.3,13,1.2,18,1.1,2,0.6
After issuance of regional director's decision,2478,16.1,2165,17.4,115,10.4,198,10.5,92,27.7
After issuance of Board decision,111,0.7,98,0.8,6,0.6,7,0.4,2,0.6
