Division and State,Number of elections,Elections won by — A. F. of L. affiliates,Elections won by — C. I. O. affiliates,Elections won by — Unaffiliated unions,Elections won by — No union,Eligible voters,Valid votes cast for — Total,Valid votes cast for — A. F. of L. affiliates,Valid votes cast for — C. I. O. affiliates,Valid votes cast for — Unaffiliated unions,Valid votes cast for — No union
South Atlantic — West Virginia,45,16,8,8,17,7857,6856,919,2743,94,3167
South Atlantic — North Carolina,62,14,5,16,27,8434,6433,2545,874,39,2975
South Atlantic — South Carolina,21,5,1,4,11,4888,4494,271,839,1153,
South Atlantic — Georgia,75,26,10,13,26,11099,10177,3372,739,395,5071
South Atlantic — Florida,75,32,6,11,26,5140,4439,2329,299,39,2872
East South Central — total,289,105,60,17,107,29014,26234,7681,7919,1691,8943
ESC — Kentucky,84,41,4,7,32,3779,7096,2853,2178,961,3235
ESC — Tennessee,98,26,26,7,39,10337,9374,2326,2693,503,3114
ESC — Alabama,66,23,26,2,19,9649,8766,1532,2663,159,1950
ESC — Mississippi,41,15,4,1,17,5249,2998,970,385,68,644
West South Central — total,405,169,72,39,125,37804,33077,11644,9488,1943,10124
WSC — Arkansas,56,23,12,6,16,6718,5995,2556,1184,603,1432
WSC — Louisiana,64,29,15,4,16,5235,4510,1933,1325,55,1197
WSC — Oklahoma,48,23,8,3,14,2544,2144,707,636,85,716
WSC — Texas,237,94,37,26,79,23307,20332,5927,5805,1180,8920
Mountain — total,219,115,18,14,72,9332,8457,3291,1388,869,2849
Mtn — Montana,20,7,2,0,11,380,320,141,48,0,131
Mtn — Idaho,12,8,1,1,2,330,230,82,55,26,67
Mtn — Wyoming,12,9,1,0,2,476,382,260,12,0,110
Mtn — Colorado,65,29,11,8,17,4574,4116,1067,1034,478,1537
Mtn — New Mexico,20,12,0,0,8,1003,898,472,56,61,284
Mtn — Arizona,30,11,3,5,11,1653,1429,311,31,0,475
Mtn — Utah,41,18,0,1,12,1153,1029,636,0,190,120
Mtn — Nevada,19,11,0,0,8,503,364,100,111,32,121
Pacific — total,725,326,63,114,222,45672,40007,15348,7392,5575,11702
Pacific — Washington,97,55,9,11,22,5896,5092,2562,893,521,1116
Pacific — Oregon,98,57,9,9,23,5288,4092,2651,300,455,686
Pacific — California,530,214,45,94,177,34488,29762,9955,5910,2623,9531
Outlying areas — total,70,10,0,5,55,5323,4492,1219,11,2632,1210
