Industrial group,All cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union-shop authorization cases
Total,22298,4164,858,167,72,9460,448,339,6790
Manufacturing,14708,2604,411,71,10,6306,287,216,4803
Ordnance and accessories,17,2,0,0,0,9,0,0,6
Food and kindred products,2155,262,75,23,0,959,69,35,732
Tobacco manufactures,51,8,2,0,0,23,0,0,18
Textile-mill products,641,184,17,1,0,250,26,12,150
Apparel and other finished products made from fabrics and similar materials,851,188,37,5,0,405,21,6,189
Lumber and wood products,855,159,17,2,0,343,23,11,301
Furniture and fixtures,617,89,24,2,0,280,8,8,206
Paper and allied products,382,56,6,1,0,205,4,7,103
"Printing, publishing, and allied industries",632,103,19,3,0,278,7,7,215
Chemicals and allied products,987,96,12,1,0,599,13,11,257
Products of petroleum and coal,250,52,6,1,0,137,3,6,44
Rubber products,168,24,5,1,0,87,5,3,51
Leather and leather products,256,26,8,0,0,92,11,1,86
"Stone, clay, and glass products",547,102,13,5,1,217,12,7,196
Primary metal industries,987,196,24,5,1,371,8,16,364
Fabricated metal products except transportation equipment,1509,245,31,5,3,609,15,15,588
Machinery (except electrical),1503,219,29,4,1,723,16,13,504
"Electrical machinery, equipment, and supplies",832,170,34,3,0,348,9,7,280
Transportation equipment,763,111,26,0,1,334,11,14,264
"Professional, scientific, and controlling instruments",268,41,14,1,0,125,6,4,76
Miscellaneous manufacturing,707,132,17,2,0,283,24,9,239
"Agriculture, forestry, and fisheries",0,0,0,0,0,0,0,0,0
Mining,302,70,24,10,1,130,8,6,98
Wholesale trade,1507,252,42,12,7,231,6,9,950
Retail trade,1959,365,44,19,0,951,43,35,547
"Finance, insurance, and real estate",136,36,8,0,1,59,0,2,30
"Transportation, communication, and other public utilities",2158,534,110,32,16,767,31,28,640
Services,675,141,29,2,0,308,15,14,155
