Division and State,Total elections Total,Won by AFL-CIO unions,Won by Teamsters,Won by Other national unions,Won by Other local unions,No representative chosen,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes for unions Total,Valid votes for unions AFL-CIO,Valid votes for unions Teamsters,Valid votes for unions Other national unions,Valid votes for unions Other local unions,Total votes for no union,Total employees in elections showing representation
West South Central state,,,,,,,,,,,,,,,,
West South Central (subtotal),637,360,257,98,6,0,268,48444,43187,24833,18857,3557,1428,1253,18332,25568
Mountain state,,,,,,,,,,,,,,,,
Mountain (subtotal),355,192,124,59,2,0,162,16741,13814,7469,4633,1411,290,743,6345,7178
Pacific state,,,,,,,,,,,,,,,,
Pacific (subtotal),1142,663,377,215,43,4,493,71122,62776,35982,30086,6122,1550,924,22734,43103
Puerto Rico,172,107,58,2,0,1,57,8242,7407,4107,4105,1076,0,0,2860,9796
Outlying Areas,183,115,69,2,,,57,16846,14872,4108,1076,0,0,2,2908,10283
"Total, all States and areas",7857,4495,2814,1262,248,171,3360,566104,505772,294305,206322,43331,22411,23011,212467,292055
