Stage and method,All R cases / Number of cases,All R cases / Percent of cases closed,NLRA R cases / Number of cases,NLRA R cases / Percent of cases closed,RC cases / Number of cases,RC cases / Percent of cases closed,RM cases / Number of cases,RM cases / Percent of cases closed,RD cases / Number of cases,RD cases / Percent of cases closed
Total number of cases closed,6817,100.0,3054,100.0,3142,100.0,334,100.0,287,100.0
"Before formal action, total",5333,82.2,2172,71.1,2898,92.3,316,94.6,227,79.1
"Before formal action — Adjusted, total",2833,41.6,802,26.3,1839,60.0,96,28.7,48,16.7
Before formal action — Withdrawn,1887,27.7,827,27.1,,,,,120,41.8
Before formal action — Dismissed,162,2.4,79,2.6,,,,,,
"After formal action, total",1484,21.7,882,28.9,244,7.8,18,5.4,60,20.9
"After formal action — Before hearing, total",156,2.3,70,2.3,51,1.6,4,1.2,11,3.8
"After formal action — After hearing, total",281,4.1,215,7.0,49,1.6,,,,
"After formal action — After Board decision, total",763,11.3,,,,,,,,
