row_label,Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,Number of elections in which representation rights were won by unions — AFL-CIO unions,Number of elections in which representation rights were won by unions — Teamsters,Number of elections in which representation rights were won by unions — Other national unions,Number of elections in which representation rights were won by unions — Other local unions,Number of elections in which no representative chosen,Total employees eligible to vote,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO unions,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national unions,Valid votes cast for unions — Other local unions,Total votes cast for no unions,Eligible employees in elections won by unions
Nevada,27,14,8,4,,2,13,975,466,263,143,0,60,264,542,
Pacific (Division total),664,317,183,96,14,24,347,30209,13166,7567,2300,538,1759,12503,14071,
Outlying Areas (subtotal),29,15,,,,,14,1168,,,,,,,,
"Total, All States and Areas",3309,1704,1074,456,63,121,1773,217420,90565,60051,16127,4008,9825,95290,85525,
