Affiliation of union holding union-shop contract,Number of polls / Total,Number of polls / Resulting in deauthorization / Number,Number of polls / Resulting in deauthorization / Percent of total,Number of polls / Resulting in continued authorization / Number,Number of polls / Resulting in continued authorization / Percent of total,Employees involved (number eligible to vote) 1 / Total eligible,Employees involved (number eligible to vote) 1 / In polls / Resulting in deauthorization Number,Employees involved (number eligible to vote) 1 / In polls / Resulting in deauthorization Percent of total,Employees involved (number eligible to vote) 1 / In polls / Resulting in continued authorization Number,Employees involved (number eligible to vote) 1 / In polls / Resulting in continued authorization Percent of total,Valid votes cast / Total,Valid votes cast / Percent of total eligible,Valid votes cast / Cast for deauthorization / Number,Valid votes cast / Cast for deauthorization / Percent of total eligible
Total,48,35,72 9,13,27 1,3975,2759,69 4,1216,30 6,3428,86 2,2196,55 2
AFL-CIO unions,37,26,70 3,11,29 7,3608,2459,68 2,1149,31 8,3113,86 3,1978,54 8
Teamsters,4,4,100 0,0,0,134,134,100 0,0,0,120,89 6,94,70 1
Other national unions,4,3,75 0,1,25 0,203,153,75 4,50,24 6,166,81 8,110,54 2
Other local unions,3,2,66 7,1,33 3,30,13,43 3,17,56 7,27,90 0,14,51 9
