row_label,Total elections,Objections only - Number,Objections only - Percent,Challenges only - Number,Challenges only - Percent,Objections and challenges - Number,Objections and challenges - Percent,Total objections - Number,Total objections - Percent,Total challenges - Number,Total challenges - Percent
All representation elections,7789,672,8.6,272,3.5,170,2.2,842,10.8,442,5.7
By type of case - In RC cases,6694,607,9.1,236,3.5,149,2.2,756,11.3,385,5.8
In RM cases,221,12,5.4,7,3.2,5,2.2,17,7.7,12,5.4
In RD cases,874,53,6.1,29,3.3,16,1.8,69,7.9,45,5.1
By type of election - Consent elections,285,8,2.8,10,3.5,6,2.1,14,4.9,16,5.6
Stipulated elections,5977,477,8.0,189,3.2,105,1.8,582,9.7,294,4.9
Expedited elections,18,3,16.7,0,0,0,0,3,16.7,0,0
Regional director-directed elections,1490,181,12.1,68,4.6,57,3.8,238,16.0,125,8.4
Board-directed elections,19,3,15.8,5,26.3,2,10.5,5,26.3,7,36.8
