Size of unit (number of employees),Number of elections,Percent of total,Elections in which representation rights were won by — AFL affiliates / Number,Elections in which representation rights were won by — AFL affiliates / Percent,Elections in which representation rights were won by — CIO affiliates / Number,Elections in which representation rights were won by — CIO affiliates / Percent,Elections in which representation rights were won by — AFL-CIO affiliates / Number,Elections in which representation rights were won by — AFL-CIO affiliates / Percent,Elections in which representation rights were won by — Unaffiliated unions / Number,Elections in which representation rights were won by — Unaffiliated unions / Percent,Elections in which no representative was chosen / Number,Elections in which no representative was chosen / Percent
Total,4946,100.0,986,100.0,486,100.0,1430,100.0,328,100.0,1716,100.0
1-9,853,17.3,222,22.6,48,9.9,290,19.4,45,13.7,257,15.0
10-19,583,18.9,192,16.9,74,16.2,224,14.4,36,11.4,178,8.9
20-29,391,11.7,138,13.0,49,10.1,182,12.7,18,5.5,130,5.1
"Additional size bins 30-39 through 10,000 and over",,,,,,,,,,,,
