row_label,Identification of filing party / Total,Identification of filing party / AFL-CIO unions,Identification of filing party / Teamsters,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
"All cases - Pending July 1, 1973",12308,5088,1450,380,355,3444,1591
All cases - Received fiscal 1974,42373,14659,5908,1256,1113,13870,5567
All cases - On docket fiscal 1974,54681,19747,7358,1636,1468,17314,7158
All cases - Closed fiscal 1974,41100,14131,5738,1160,1072,13544,5455
"All cases - Pending June 30, 1974",13581,5616,1620,476,396,3770,1703
"Unfair labor practice cases 2 - Pending July 1, 1973",9001,3300,721,248,195,3176,1361
Unfair labor practice cases - Received fiscal 1974,27726,7676,2102,577,523,12445,4465
Unfair labor practice cases - On docket fiscal 1974,36727,10976,2823,825,716,15621,5766
Unfair labor practice cases - Closed fiscal 1974,27016,7381,2061,547,500,12160,4367
"Unfair labor practice cases - Pending June 30, 1974",9711,3595,762,278,216,3461,1399
"Representation cases 3 - Pending July 1, 1973",3173,1759,717,124,155,227,191
Representation cases - Received fiscal 1974,14082,6848,3766,124,600,577,1217
Representation cases - On docket fiscal 1974,17255,8607,4483,784,732,1444,1205
Representation cases - Closed fiscal 1974,13542,6617,3637,595,557,1188,948
"Representation cases - Pending June 30, 1974",3713,1990,846,189,175,256,257
"Union-shop deauthorization cases - Pending July 1, 1973",41,,,,,41,
Union-shop deauthorization cases - Received fiscal 1974,203,,,,,203,
Union-shop deauthorization cases - On docket fiscal 1974,244,,,,,244,
Union-shop deauthorization cases - Closed fiscal 1974,192,,,,,192,
"Union-shop deauthorization cases - Pending June 30, 1974",52,,,,,52,
"Amendment of certification cases - Pending July 1, 1973",26,8,6,5,3,4,0
Amendment of certification cases - Received fiscal 1974,121,60,25,7,9,1,19
Amendment of certification cases - On docket fiscal 1974,147,68,35,12,12,1,19
Amendment of certification cases - Closed fiscal 1974,116,57,25,7,9,1,17
"Amendment of certification cases - Pending June 30, 1974",31,11,10,5,3,0,2
"Unit clarification cases - Pending July 1, 1973",67,21,2,3,2,0,39
Unit clarification cases - Received fiscal 1974,241,75,15,13,12,6,129
Unit clarification cases - On docket fiscal 1974,308,96,17,15,13,4,168
Unit clarification cases - Closed fiscal 1974,234,76,15,12,9,3,123
"Unit clarification cases - Pending June 30, 1974",74,20,2,3,4,0,45
