row_label,col_1,col_2,col_3,col_4
Total,53381,53381,,
"1948 (Aug 22, 1947-June 30, 1948)",26099,18691,26099,7408
1949,12182,18880,19590,710
1950,6537,6256,7247,991
1951,0782,6836,7773,937
"1952 (July 1, 1951-Oct. 22, 1951)__",1781,2718,2718,0
