Types of formal actions taken,Cases in which formal actions taken,Total formal actions taken,Formal actions taken by type of case — CA,Formal actions taken by type of case — CB,Formal actions taken by type of case — CC,Formal actions taken by type of case — CD — Jurisdictional disputes,Formal actions taken by type of case — CD — Unfair labor practices,Formal actions taken by type of case — CE,Formal actions taken by type of case — CG,Formal actions taken by type of case — CP,Formal actions taken by type of case — CA combined with CB,Formal actions taken by type of case — C combined with representation cases,Formal actions taken by type of case — Other C combinations
10(b) notices of hearings issued,27,25,,,,,,,,,,,
  Complaints issued,2972,1840,1584,140,24,,,1,1,5,33,44,8
  Backpay specifications issued,129,65,41,0,0,,,0,0,0,0,4,2
Hearings completed (total),752,300,267,18,5,,,0,1,0,1,14,2
Decisions by administrative law judges (total),745,345,291,25,4,,,0,1,0,0,3,20
Decisions and orders by the Board (total),976,521,451,36,2,,,8,0,0,0,3,17
