Industrial group,Total elections,Number of elections in which representation rights were won by unions — Total,AFL-CIO unions won,Teamsters won,Other national unions won,Other local unions won,Number of elections in which no representative chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Total valid votes cast for no representation,Eligible employees in elections choosing no representation
Manufacturing — Subtotal,1200,485,320,117,7,30,715,96081,86914,40185,30182,5341,421,4250,46733,31406
Food and kindred products,169,67,37,28,0,2,102,19560,17545,7069,4751,1932,0,386,8798,7798
