Type of case,Objections filed,Objections withdrawn,Objections ruled upon,Disposition of objections ruled upon / Overruled / Number,Disposition of objections ruled upon / Overruled / Percent of total ruled upon,Disposition of objections ruled upon / Sustained / Number,Disposition of objections ruled upon / Sustained / Percent of total ruled upon
All elections,1311,329,982,739,75.3,243,24.7
RC elections,1176,315,861,628,72.9,233,27.1
RM elections,115,10,105,99,94.3,6,5.7
RD elections,20,4,16,12,75.0,4,25.0
