row_label,col_1,col_2,col_3,col_4,col_5,col_6
"00:0.000 ..,",R,-Acwroo,2,mo,CO,to 4
0000000<s■,",s,",0:N000,,:0,:,CC
..0:.000,::.',"N.0.,0 ..cu",N r-,MO,"c,",". , Cl"
"CCNNNCV,00",,".:000,0 . m",,to,to,8
".h.,0:NO","0 ,","2 :s o mo-,",CO m,"-,..",to,8
"R',7i'4',.18R",n,"oo,4o,, . o",o N,,",",0 ;
"'42m8V,02","Cl ,---",",00m.m",8,CO 8,o,w o .6
000:00000,,00.000 : 0,", M",NO,Cl,M
0000000:,:,:000.0,M,NO,N,. M
: 0000000,:,000000 N,CO .,:0,:,
:NONON00,",",..V.:0,4,.0,,
ONOWNCU:W,N,rf-Ctoo o,"0 m ,",mo,CO,"CO , o"
"R''''""F-ti",2,'°8.0.'840 EA o,CO 2,CO 8,o m,"m , .6"
282cV4R8g,,"oo.,mo",o m,' .2/•-',,
", c. >22'42822 0:, ,","S ,-1","222'''' •-• , .:NN",m CV CO -,4 ..,N o CV,
"NC9920.7T,C0 EV`4'. .P.R8.3",,K-Ag .. .',. e -,2.,R,
8 to o F; A.V g 2 4 AlsEl)hIE,,"g jggAE 35.(cf,",,8i c412,,
