row_label,col_1,col_2
BI Analysis of 8(bX4),BI Analysis of 8(bX4),BI Analysis of 8(bX4)
Total cases 8(bX4),1391,100 0
8(bX4XA),110,79
8(bX4)(B),939,67 5
8(bX4XC),8,06
8(b)(4XD),283,204
8(bX4XAXB),43,31
8(bX4XAXC),2,01
8(bX4)(BXC),4,03
8(bX4XAXBXC),2,0I
',','
8(b)(4XA),157,112
8(bX4)(B),988,710
8(bX4XC),16,1 I
g(bX4XD),283,204
B2 Analysts of 8(b)(7),B2 Analysts of 8(b)(7),B2 Analysts of 8(b)(7)
Total cases 8(bX7),290,100 0
8(b)(7XA),59,204
8(bX7XB),16,55
8(b)(7XC),208,717
8(b)(7XAXB),2,07
8(13)(7XAXC),3,to
8(bX7XBXC),2,07
',','
8(b)(7XA),64,22 1
8(bX7XB),20,69
8(bX7)(C),213,73 4
C Charges filed under sec 8(e),C Charges filed under sec 8(e),C Charges filed under sec 8(e)
Total cases 8(e),63,100 0
Against unions alone,60,95 2
Against employers alone,2,32
DCharges filed under sec 8(g),DCharges filed under sec 8(g),DCharges filed under sec 8(g)
Total cases 8(g),34,100 0
