Status of cases,Total,Identification of filing party — AFL-CIO unions,Identification of filing party — Teamsters,Identification of filing party — Other national unions,Identification of filing party — Other local unions,Identification of filing party — Individuals,Identification of filing party — Employers
"Pending October 1, 1982",23000,8755,2484,2099,1027,7545,1834
Received fiscal 1983,49436,15080,5021,1792,2220,20170,5153
On docket fiscal 1983,72436,23535,7587,2819,3473,27716,7007
Closed fiscal 1983,46521,14255,4695,1682,2078,19339,4472
"Pending September 30, 1983",25915,9580,2892,1137,1395,8376,2535
"Pending October 1, 1982",19956,7443,2099,873,1017,6933,1591
Received fiscal 1983,40634,11936,3462,1422,1604,18023,4187
On docket fiscal 1983,60590,19379,5561,2295,2621,24956,5778
Closed fiscal 1983,38041,11233,3200,1304,1500,17225,3579
"Pending September 30, 1983",22549,8146,2361,991,1121,7731,2199
"Pending October 1, 1982",2839,1257,460,232,222,523,225
Received fiscal 1983,8078,2966,1523,355,569,1901,764
On docket fiscal 1983,10917,4223,1983,587,791,2424,989
Closed fiscal 1983,7808,2853,1462,361,535,1879,718
"Pending September 30, 1983",3109,1370,521,146,256,545,271
"Pending October 1, 1982",89,,,,,89,
Received fiscal 1983,241,,,,,241,
On docket fiscal 1983,330,,,,,330,
Closed fiscal 1983,231,,,,,231,
"Pending September 30, 1983",99,,,,,99,
"Pending October 1, 1982",13,8,0,0,4,0,1
Received fiscal 1983,38,19,4,0,3,11,1
On docket fiscal 1983,51,27,4,0,7,11,2
Closed fiscal 1983,36,20,4,0,3,8,1
"Pending September 30, 1983",15,7,0,0,4,3,1
"Pending October 1, 1982",103,47,7,2,10,0,37
Received fiscal 1983,445,159,32,12,36,4,202
On docket fiscal 1983,548,206,39,14,46,4,239
Closed fiscal 1983,405,149,29,14,35,3,175
"Pending September 30, 1983",143,57,10,0,11,1,64
