Division and State,Total elections / Total elec-tions,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Team-sters,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which representation rights were won by unions / Other local unions,Number of elections in which no representative was chosen / Number of elec-tions in which no rep-resent-ative was chosen,Number employees eligible to vote / Number employ-ees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Team-sters,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Total votes for no union,Eligible employees in units choosing unions / Eligible employ-ees in units choosing unions
South Atlantic,762,289,,,,,468,55069,48318,,,,,,29786,
East South Central,404,157,,,,,247,34495,30191,,,,,,13684,
West South Central,385,180,,,,,210,18852,16191,,,,,,10205,
Mountain,320,160,,,,,162,8103,7394,,,,,,3943,
Pacific,610,303,,,,,323,,,,,,,,,
Outlying areas,78,20,,,,,58,,,,,,,,,
"Total, all States and areas",7512,3254,,,,,4275,443948,392157,,,,,,207124,
