Division and State,Total elections,Number of elections in which representation rights won by unions / Total,Number of elections in which representation rights won by unions / AFL-CIO unions,Number of elections in which representation rights won by unions / Teamsters,Number of elections in which representation rights won by unions / Other national unions,Number of elections in which representation rights won by unions / Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Teamsters,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Valid votes for no union,Eligible employees in elections choosing representation
"Total, All States and areas",8324,5059,3415,1382,320,142,4265,591722,534454,311353,225932,41335,23743,20333,223101,339407
New England,407,269,137,111,14,7,138,39989,38361,14748,10079,2268,1162,736,14170,12995
New England state,,,,,,,,,,,,,,,,
Middle Atlantic,1445,879,543,229,67,40,566,114433,100465,63280,45990,6535,6198,4557,47205,70617
MA state,,,,,,,,,,,,,,,,
East North Central,1839,1094,721,302,65,47,745,,109403,63548,47030,,5738,,,
ENC state,,,,,,,,,,,,,,,,
West North Central,713,475,294,164,13,4,228,,30019,17778,13314,3422,501,341,12781,19951
WNC state,,,,,,,,,,,,,,,,
