Type of Litigation,Total all courts — Number decided,Total all courts — Upholding Board position,Total all courts — Contrary to Board position,In courts of appeals — Number decided,In courts of appeals — Upholding Board position,In courts of appeals — Contrary to Board position,In district courts — Number decided,In district courts — Upholding Board position,In district courts — Contrary to Board position,In bankruptcy courts — Number decided,In bankruptcy courts — Upholding Board position,In bankruptcy courts — Contrary to Board position,In state courts — Number decided,In state courts — Upholding Board position,In state courts — Contrary to Board position
Other,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0
Objection to Board's proof of claim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intervention in § 301 suit,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0
EAJA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suit for violation of constitutional rights,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
State claims preempted by Sec. 8(b)(4) and Sec. 303,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
