Industrial group,Total elec- tions,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL- CIO unions,Number of elections in which representation rights were won by unions / Other na- tional unions,Number of elections in which representation rights were won by unions / Other local unions,Number of elec- tions in which no rep- resen- tative was chosen,Number of em- ployees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL- CIO unions,Valid votes cast for unions / Other na- tional unions,Valid votes cast for unions / Other local unions,Total votes for no union,Eligi- ble employ- ees in no rep- resenta- tion
"Museums, art galleries, botanical and zoological gardens",2,2,1,1,0,0,202,192,117,62,55,0,75,202
Legal services,7,6,0,6,0,1,134,122,80,70,10,0,42,53
Social services,56,39,32,1,0,17,2566,2155,1351,1137,100,114,804,1345
Miscellaneous services,12,5,3,0,2,7,175,119,62,48,0,14,56,85
Services (group total),908,516,396,30,90,392,58525,48867,25130,19390,1526,4214,23737,31033
Public administration,21,11,9,0,2,10,455,382,382,355,219,12,264,278
"Total, all industrial groups",3399,1611,1420,49,142,1788,215137,188951,88311,78233,3106,6952,100640,86678
