Stage,Total,Number of cases — Identification of petitioner — Employer,Number of cases — Identification of petitioner — Union,Number of cases — Identification of petitioner — Courts,Number of cases — Identification of petitioner — State boards
"Pending July 1, 1966",0,0,0,0,0
Received fiscal 1967,10,5,5,0,0
On docket fiscal 1967,10,5,5,0,0
Closed fiscal 1967,9,4,5,0,0
"Pending June 30, 1967",1,1,0,0,0
