row_label,Industrial group 2,Total elections,Number of elections in which representation rights were won by / AFL-CIO affiliates,Number of elections in which representation rights were won by / Teamsters,Number of elections in which representation rights were won by / Other national unions,Number of elections in which representation rights were won by / Unaffiliated national unions,Number of elections in which representation rights were won by / Local unaffiliated unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for / AFL-CIO affiliates,Valid votes cast for / Teamsters,Valid votes cast for / Other national unions,Valid votes cast for / Unaffiliated national unions,Valid votes cast for / Local unaffiliated unions,Valid votes cast for / No union,Employees in units chosen representation
"Total, all industrial groups",7529,2685,1146,294,111,,3233,511751,498902,197322,45117,27492,19809,,167302,295330,
Manufacturing (subtotal),4459,1717,454,139,33,,1971,408153,380247,149759,23715,22161,17887,,139520,167302,
"Manufacturing sub-industries (Ordnance, Food, Tobacco, Textile, Apparel, Lumber, Furniture, Paper, Printing, Chemicals, Petroleum, Rubber, Leather, Stone/clay/glass, Primary metal, Fabricated metal, Machinery, Electrical equipment, Transportation equipment, Aircraft, Ship and boat, Automotive, Professional/scientific instruments, Miscellaneous manufacturing)",,,,,,,,,,,,,,,,,
