Method and stage of disposition,All R cases / Number,All R cases / Percent,RC cases / Number,RC cases / Percent,RM cases / Number,RM cases / Percent,RD cases / Number,RD cases / Percent,UD cases / Number,UD cases / Percent
"Total, all",13184,100.0,11024,100.0,834,100.0,1326,100.0,209,100.0
"Certification issued, total",8719,66.1,7732,70.1,359,43.1,616,46.7,103,49.2
After Consent election,885,6.7,777,7.0,28,3.4,80,6.1,17,8.1
Before notice of hearing,500,3.8,435,3.8,26,2.7,39,2.9,4,1.9
"After notice of hearing, before hearing closed",385,2.9,342,3.2,2,0.7,41,3.1,,
"After firm hearing closed, before decision",0,,0,,,,,,,
Stipulated election,6131,46.5,5444,49.4,222,26.7,454,34.2,29,13.9
Before notice of hearing,2363,17.9,1973,17.9,136,15.8,234,17.6,21,10.0
"After notice of hearing, before hearing closed",3755,28.5,3449,31.3,86,10.3,220,16.6,,
After hearing closed,13,0.1,12,0.2,,,,,1,0.5
Expedited election,32,0.2,0,,,,,,,
Regional director directed election,1572,11.9,1408,12.8,89,8.8,67,5.0,57,27.2
Board ordered election,100,0.8,82,0.8,13,,5,,,
"By withdrawal, total",3459,26.2,2654,24.1,317,38.0,,,81,38.8
Before notice of hearing,1724,13.1,1150,10.4,227,27.1,347,26.2,76,36.4
"After notice of hearing, before hearing closed",1545,11.7,1388,12.1,78,9.4,74,5.6,5,2.4
After hearing closed,31,0.2,29,0.3,2,,,,,
After regional director's decision and direction of election,151,1.1,131,1.2,11,1.5,9,0.7,,
After Board decision and direction of election,8,0.1,7,,1,,,,,
"By dismissal, total",1015,7.7,638,5.8,158,18.9,194,16.5,25,12.0
Before notice of hearing,452,3.4,189,1.7,109,13.1,150,11.3,23,11.0
"After notice of hearing, before hearing closed",37,0.3,33,0.3,1,0.1,1,0.1,2,1.0
"After hearing closed, before decision",26,0.2,21,0.2,3,0.4,,,,
By regional director's decision,314,2.4,267,2.5,15,1.8,32,2.4,,
By Board decision,186,1.4,128,1.2,30,3.5,11,0.7,,
