Types of formal actions taken,Cases in which formal actions taken,Formal actions taken by type of case — Total formal actions taken,Formal actions taken by type of case — CA,Formal actions taken by type of case — CB,Formal actions taken by type of case — CC,Formal actions taken by type of case — CD — Jurisdictional disputes,Formal actions taken by type of case — CD — Unfair labor practices,Formal actions taken by type of case — CE,Formal actions taken by type of case — CG,Formal actions taken by type of case — CP,Formal actions taken by type of case — CA combined with CB,Formal actions taken by type of case — C combined with representation cases,Formal actions taken by type of case — Other C combinations
10(k) notices of hearings issued,12,12,,,,12,,,,,,,
Complaints issued,1970,1289,1107,111,16,,0,0,1,2,3,15,16
Backpay specifications issued,126,45,42,0,0,,0,0,0,0,0,0,3
"Hearings completed, total",486,225,189,22,1,0,0,1,0,0,5,7,0
Initial ULP hearings,431,205,170,22,1,0,0,1,0,0,5,7,0
Backpay hearings,21,7,7,0,0,0,0,0,0,0,0,0,0
Other hearings,34,13,12,0,0,0,0,0,0,0,0,0,1
"Decisions by administrative law judges, total",543,239,207,18,1,0,0,1,0,0,5,7,0
Initial ULP decisions,467,211,181,17,1,0,0,1,0,0,5,7,0
Backpay decisions,14,6,5,1,0,0,0,0,0,0,0,0,0
Supplemental decisions,62,22,21,0,0,0,0,0,0,0,0,0,0
"Decisions issued by the Board, total",958,447,393,28,6,7,0,0,0,0,3,8,2
