Participating unions,Total elections,Percent won,Total won,AFL-CIO unions won,Teamsters won,Other national unions won,Other local unions won,Elections in which no representative chosen,Employees eligible to vote — Total,In elections won by unions — Total,AFL-CIO unions in won-elections,Teamsters in won-elections,Other national unions in won-elections,Other local unions in won-elections,In elections where no representative chosen
Section C — RM: Total RM elections,90,28.7,25,19,7,1,22,65,2302,1668,838,288,4,314,1134
Section D — RD: AFL-CIO (1-union),365,32.2,117,117,,,,248,22624,9557,9557,,,,12887
Section D — RD: Teamsters (1-union),176,23.9,42,,42,,,134,5633,2661,,2661,,,2972
Section D — RD: 1-union elections — Subtotal,586,29.6,167,117,42,7,12,419,30917,13402,9557,2661,14,1170,16562
Section D — Total RD elections,573,30.2,173,122,43,9,14,400,30811,14174,10382,2675,14,1117,16640
