Type of case,Objections filed,Objections withdrawn,Objections ruled upon,Disposition of objections ruled upon / Overruled / Number,Disposition of objections ruled upon / Overruled / Percent of total ruled upon,Disposition of objections ruled upon / Sustained 2 / Number,Disposition of objections ruled upon / Sustained 2 / Percent of total ruled upon
All elections,1027,231,796,543,68 2,253,31 8
RC elections,959,211,748,507,67 8,241,32 2
RM elections,46,16,30,23,76 7,7,23 3
RD elections,22,4,18,13,72 2,5,27 8
