Stage,Number of cases / Total,Number of cases / Identification of complainant or petitioner — AFL-CIO affiliates,Number of cases / Identification of complainant or petitioner — Unaffiliated unions,Number of cases / Identification of complainant or petitioner — Individuals,Number of cases / Identification of complainant or petitioner — Employers
All cases,,,,,
"Pending July 1, 1957",4416,2322,307,1236,551
Received fiscal 1958,16748,7070,1971,5990,1717
On docket fiscal 1958,21164,9392,2278,7226,2268
Closed fiscal 1958,14779,7280,1548,4400,1551
"Pending June 30, 1958",6385,2112,730,2826,717
Unfair labor practice cases,,,,,
"ULP — Pending July 1, 1957",2680,1007,119,1149,405
ULP — Received fiscal 1958,9260,2186,573,5410,1091
ULP — On docket fiscal 1958,11940,3193,692,6559,1496
ULP — Closed fiscal 1958,7289,2105,373,3859,952
"ULP — Pending June 30, 1958",4651,1088,319,2700,544
Representation cases,,,,,
"Rep — Pending July 1, 1957",1727,1315,187,79,146
Rep — Received fiscal 1958,7399,4884,1398,491,626
Rep — On docket fiscal 1958,9126,6199,1585,570,772
Rep — Closed fiscal 1958,7403,5175,1174,455,599
"Rep — Pending June 30, 1958",1723,1024,411,115,173
Union-shop deauthorization cases,,,,,
"UD — Pending July 1, 1957",9,0,1,8,0
UD — Received fiscal 1958,89,0,0,89,0
UD — On docket fiscal 1958,98,0,1,97,0
UD — Closed fiscal 1958,87,0,1,86,0
"UD — Pending June 30, 1958",11,0,0,11,0
