row_label,Division and State,Total cases closed,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which representation rights were won by unions / Other local unions,Elections in which no representative chosen,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Eligible employees in units representation / Votes for no representation
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,1,0,0,0,0,0,56,24,24,0,0,32,0
Kansas,6,3,2,1,0,9,1253,543,519,24,0,710,1739
West North Central,50,15,13,0,2,35,2726,2289,1284,574,0,1005,1739
_remaining_rows_summary,,,,,,,,,,,,,
