Division and State,Total elections held,Won by unions — Total,Won by unions — AFL-CIO,Won by unions — Teamsters,Won by unions — Other national unions,Won by unions — Other local unions,Number of elections in which no representative was chosen,Number of employees eligible,Total valid votes cast,Valid votes cast for unions — Total,Valid votes for unions — AFL-CIO,Valid votes for unions — Teamsters,Valid votes for unions — Other national unions,Valid votes for unions — Other local unions,Total votes for no union,Eligible employees in units choosing union
South Atlantic,925,570,333,144,45,7,366,81308,76978,55177,33651,8053,3053,45406,24015,
East South Central,484,299,177,73,37,5,225,60014,55138,31533,26940,1547,1347,144,20491,
West South Central,704,417,207,89,29,13,287,60014,55158,29116,20067,3316,,1859,25888,
Mountain,358,219,127,87,14,1,133,17877,15723,8514,4990,3116,741,445,6985,
Pacific,1123,624,349,204,21,27,434,82231,68665,42816,22651,8517,3303,8344,19496,
Outlying Areas,161,104,73,1,26,4,55,17032,14205,10225,,,,,,
