Case No.,Union and company,Date petition for injunction filed,Type of petition,Date TRO issued,Date TRO lifted,Date temporary injunction granted,Date injunction denied,Date proceedings withdrawn or dismissed,Date Board decision and order
2-CC-275,"CIO-Distributive Workers, Local-District 65 (Arlen Thread Co, Inc)","Apr. 16, 1954",10 (l),,,"May 26, 1954",,"Nov. 10, 1954",Withdrawn
"2-CC-280, 31-CC-2, 21-CC-83","International Longshoremen's Assn and Locals 805, 798, and 850 et al (Dixon Shipping Assn, Inc)","Apr. 19, 1954",10 (l),,,,,,
5-CC-44,"AFL-Plumbers, Local 420 (Frank W. Hake)","Apr. 20, 1954",10 (l),,,"May 5, 1954",,,
10-CC-44,"AFL-Teamsters, Local 728 (National Trucking Co)","Apr. 20, 1954",10 (l),,,,,,
2-CC-71,"International Longshoremen's Assn and Local 825-1 et al (New York Dock Co, etc)","Apr. 19, 1954",10 (l),,,,,,
16-CC-32,"AFL-Teamsters, Locals 568 et al (Red Ball Motor Freight, Inc)","Apr. 19, 1954",10 (l),,,,,,
2-CC-285,"International Longshoremen's Assn and Locals 828 and 824 (Refined Syrups & Sugars, Inc)","Apr. 23, 1954",10 (l),,,,,Withdrawn,
14-CC-56,"AFL-Teamsters, Local 88 (Jewells of Iowa Co, Inc)","May 4, 1954",10 (l),,,,,,
"11-CC-5, 6","AFL-Plumbers, Locals 391 and 71 (Thurston Motor Lines, Inc)","May 4, 1954",10 (l),,,"June 1, 1954",,,
Additional cases p4,,,,,,,,,
