Division and State,Total number of elections,Number of elections — A.F. of L. authorized,Number of elections — C.I.O. authorized,Number of elections — Unaffiliated authorized,Number of elections — No union authorized,Eligible voters,Total valid votes cast,Valid votes cast for union shop — A.F. of L.,Valid votes cast for union shop — C.I.O.,Valid votes cast for union shop — Unaffiliated,Valid votes cast against union shop
East South Central,356,323,8,19,6,47798,46232,26084,12375,1259,1783
West South Central,532,397,33,67,35,14940,14743,12266,1211,1260,788
Mountain,419,287,94,24,14,23082,20894,11171,2562,1720,11135
Pacific,2399,1488,297,493,101,146592,128553,29288,20768,7837,2441
Outlying areas,184,104,6,0,13,14383,11138,2007,5628,417,8017
