Types of formal actions taken,Cases in which formal actions taken,Formal actions taken by type of case / AC,Formal actions taken by type of case / UC
Hearings completed,114,7,106
Decisions issued after hearing,116,6,108
By regional directors,107,6,97
By Board,9,0,9
Transferred by regional directors for initial decision,8,0,7
Review of regional directors' decisions — Requests for review received,8,0,7
  Withdrawn before request ruled upon,0,0,0
"Board action on requests ruled upon, total",5,0,5
  Granted,3,0,2
  Denied,2,0,1
  Remanded,0,0,0
"Withdrawn after request granted, before Board review",0,0,0
"Board decision after review, total",1,0,1
Regional directors' decisions — Affirmed,1,0,1
  Modified,0,0,0
  Reversed,0,0,0
