Decision category,Count
Total Board decisions,500
Contested decisions,330
  Unfair labor practice decisions,241
    Initial (includes those based on stipulated record),186
    Supplemental,35
    Backpay,14
    Determinations in jurisdictional disputes,6
  Representation decisions,88
