Standard Federal Region,All cases,Unfair labor practice cases All cases,CA,CB,CC,CD,CE,CG,CP,Representation cases All cases,RC,RM,RD,UD,AC,UC
Region IV — subtotal (Sunbelt: SC + TN + ... DHHS-Region-IV institutional 8-state cluster),4447,3689,2947,651,41,14,8,0,28,700,565,24,199,11,3,27
Region V — subtotal (Midwest industrial heartland: IL + IN + MI + MN + OH + WI),10594,8332,6372,1925,211,67,15,7,66,1877,1300,102,470,76,11,74
Region VI — subtotal (AR + LA + NM + TX + OK),2431,2022,1425,513,24,13,4,10,33,418,279,12,121,6,4,47
Region VII — subtotal (Iowa + Kansas + Missouri + Nebraska),2127,1696,1255,302,70,14,3,12,55,388,274,12,100,20,4,37
Per-state,,,,,,,,,,,,,,,,
