row_label,Section/sub-section,Total proceedings,"Injunction proceedings — Pending in district court Oct 1, 1990",Injunction proceedings — Filed in district court fiscal year 1991,Total dispositions,Disposition of injunctions — Granted,Disposition of injunctions — Denied,Disposition of injunctions — Settled,Disposition of injunctions — Withdrawn,Disposition of injunctions — Dismissed,Disposition of injunctions — Inactive,"Pending in district court Sept 30, 1991"
Under Sec 10(e) total,10,,,,0,0,0,0,0,0,0,10
Under Sec 10(j) total,37,5,32,27,12,0,,11,0,0,0,10
Under Sec 10(l) total,31,6,25,23,9,1,,8,0,0,0,7
