row_label,Division and State,Total elections / Total,Number of elections in which representation rights were won by unions / Total,Number of elections in which no representative was chosen / AFL-CIO unions,Number of employees eligible to vote / Other national unions,Total valid votes cast / Other local unions,Valid votes cast for unions / Number of elections in which no representative was chosen,Eligible employees in units choosing rep no union / Number of employees eligible to vote,Total valid votes cast,Total,AFL-CIO unions,Other national unions,Other local unions,Eligible employees in units choosing rep no union
South Atlantic,296,138,127,6,5,158,27341,24694,11221,10317,231,673,13473,10301
East South Central,141,54,51,3,0,87,14124,12940,5571,5150,300,121,7369,3541
West South Central,132,56,44,4,7,76,10024,9711,4001,4000,25,210,5410,3378
Mountain,140,78,62,4,9,70,6100,5323,2417,2064,182,151,2906,2547
