Proceedings,Fiscal year 1976 / Number of proceedings / Total,Fiscal year 1976 / Number of proceedings / Vs. employers only,Fiscal year 1976 / Number of proceedings / Vs. unions only,Fiscal year 1976 / Number of proceedings / Vs. both employers and unions,Fiscal year 1976 / Number of proceedings / Board dismissed,Fiscal year 1976 / Percentages / Vs. employers only,Fiscal year 1976 / Percentages / Vs. unions only,Fiscal year 1976 / Percentages / Vs. both employers and unions,Fiscal year 1976 / Percentages / Board dismissed,"July 5, 1935 - June 30, 1976 / Number","July 5, 1935 - June 30, 1976 / Percent"
Proceedings decided by U.S. courts of appeals,250,223,49,0,10,,,,,,
On petitions for review and/or enforcement:,250,196,44,0,10,100.0,100.0,,100.0,6208,100.0
Board orders affirmed in full,183,148,32,0,3,75.5,72.7,,,3918,63.1
Board orders affirmed with modification,17,13,4,0,0,6.6,9.1,,,1023,16.5
Board orders remanded to Board,30,11,6,0,0,,40.0,,,172,2.8
Board orders partially affirmed and partially remanded,0,0,0,0,0,3.6,4.5,,,97,1.6
Board orders set aside,20,7,17,0,2,8.6,,,,899,14.4
On petitions for contempt:,,,,,,,,,,,
"Compliance secured after filing of petition, before court action",30,25,5,0,0,100.0,100.0,,,,
Court orders holding respondent in contempt,0,0,0,0,0,,,,,,
Court orders denying petition,0,0,0,0,0,,,,,,
Proceedings decided by U.S. Supreme Court,2,2,0,0,0,100.0,,,,215,100.0
"Detail rows (Board orders affirmed in full, with modification, set aside, remanded, etc. + contempt subcategories)",,,,,,,,,,,
