Division and State,Total elections held,Number of representation elections in which won by unions — Total,Won by unions — AFL-CIO,Won by unions — Teamsters,Won by unions — Other national unions,Won by unions — Other local unions,Number of elections in which no representative was chosen,Number of employees eligible,Total valid votes cast,Valid votes cast for unions — Total,Valid votes for unions — AFL-CIO,Valid votes for unions — Teamsters,Valid votes for unions — Other national unions,Valid votes for unions — Other local unions,Total votes for no union,Eligible employees in units choosing union
"Total, all States and areas",8116,4791,2905,833,294,240,3325,623711,554133,339347,222381,41784,37602,37580,214786,357114
New England,474,263,135,110,10,8,211,51117,44847,29945,19631,2327,502,7295,15002,29566
Middle Atlantic,1270,755,422,224,65,47,515,110511,99687,66092,39789,6154,4883,15239,30843,
East North Central,1817,1036,616,240,60,111,781,129766,101374,65381,47766,8560,4720,4331,51191,63892
West North Central,730,467,333,109,7,21,261,32976,29533,17841,12734,3827,358,1122,11419,16732
