Participating unions,Total elections,Percent won,Total won,AFL-CIO,Teamsters,Other national,Other local,Elections in which no representative chosen,Employees eligible — Total,In elections won,In units won by AFL-CIO,Teamsters,Other national,Other local,In units no representative chosen
1-union elections — AFL-CIO,216,31.5,68,68,,,,148,8792,2363,2363,,,,6429
1-union elections — Teamsters,152,40.1,61,,61,,,91,4386,1304,,1304,,,3079
1-union elections — Other national unions,11,88.5,7,,,9,,,384,,,,284,,
1-union elections — Other local unions,18,61.1,11,,,,11,7,4441,430,,,,430,4011
1-union elections — Total,397,37.0,147,68,61,9,11,254,17952,4281,2363,1304,284,430,13701
2-union elections — Total,20,90.0,18,10,5,3,2,,801,770,243,24,137,,
Total RM elections,418,39.7,166,78,66,12,13,252,18797,5065,2520,1388,,,13732
