NLRB Region,Number of elections — Total / Consent / Ordered,Number of employees — Eligible to vote / Voting,Valid votes cast — For A. F. of L. or C.I.O. affiliates / Unaffiliated National / Unaffiliated Local / Against single union on ballot / Against competing unions,Result of elections — Won by A.F. of L. or C.I.O. — National / Local / Won by Unaffiliated — National / Local / Won by no union
1. Boston,66,30789,,
2. New York,152,,,
Total,1355,,,
