row_label,Total,Number of cases / Identification of petitioner / Em- ployer,Number of cases / Identification of petitioner / Union,Number of cases / Identification of petitioner / Courts,Number of cases / Identification of petitioner / State boards
"Pending October 1, 1993",0,0,0,0,0
Received fiscal 1994,10,10,0,0,0
On docket fiscal 1994,10,10,0,0,0
Closed fiscal 1994,10,10,0,0,0
"Pending September 30, 1994",0,0,0,0,0
