Industrial group,Total elections / Total elec-tions,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Team-sters,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which representation rights were won by unions / Other local unions,Number of elections in which no representative was chosen / Number of elec-tions in which no rep-resent-ative was chosen,Number employees eligible to vote / Number employ-ees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Team-sters,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Total votes for no union,Eligible employees in units choosing representation / Eligible employ-ees in units choosing rep-resent-ation
Mining,88,44,,,,,44,3097,2711,1860,,,,,1061,
Wholesale trade,,,,,,,,,,,,,,,,
Retail trade,,,,,,,,,,,,,,,,
"Transportation, communication, and other public utilities",114,36,,,,,78,8442,7067,2547,,,,1518,4498,
Services,1635,789,,,,,846,106766,86512,45765,,,,,40762,54476
Public administration,0,,,,,,,,,,,,,,217,
"Total, all industrial groups",7512,3254,2025,868,131,215,4275,443948,392157,166750,104683,,,,207224,165202
