Stage of disposition,All R cases — Number of cases,All R cases — Percent of cases closed,RC cases — Number of cases,RC cases — Percent of cases closed,RM cases — Number of cases,RM cases — Percent of cases closed,RD cases — Number of cases,RD cases — Percent of cases closed,UD cases — Number of cases,UD cases — Percent of cases closed
Total number of cases closed,6707,100.0,5358,100.0,253,100.0,1096,100.0,108,100.0
Before issuance of notice of hearing,2608,38.9,1882,35.1,131,51.8,595,54.3,85,78.7
"After issuance of notice, before close of hearing",3274,48.8,2774,51.8,91,36.0,409,37.3,4,3.7
"After hearing closed, before issuance of decision",69,1.0,60,1.1,1,0.4,8,0.7,0,0
After issuance of Regional Director's decision,741,11.1,627,11.7,30,11.8,84,7.7,1,0.9
After issuance of Board decision,15,0.3,15,0.3,0,0,0,0,18,16.7
