row_label,Type of litigation,Totals — all courts — Number filed,Totals — all courts — Court determinations,Totals — all courts — Concluded by Board petition,In courts of appeals — Number filed,In courts of appeals — Court determinations,In courts of appeals — Concluded by Board petition,In district courts — Number filed,In district courts — Court determinations,In district courts — Concluded by Board petition,In bankruptcy courts — Number filed,In bankruptcy courts — Court determinations,In bankruptcy courts — Concluded by Board petition
Totals — all types,46,40,8,32,11,16,13,21,23,4,3,1,0
NLRB-initiated actions — Total,9,9,0,0,3,0,5,5,1,,0,,
Action by other parties — Total,37,31,8,26,13,16,8,16,1,4,3,1,0
