row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
Total number of cases closed,"4 5,962",100.0,4618,100 0,1052,100 0,202,100 0,3 72,100 0
Before issuance of complaint,4975,83 4,3837,83 1,904,85 9,163,80 7,8 71,98 6
"After issuance of complaint, before opening of hearing I _ _",333,5 6,243,5 3,70,6 7,19,-9 4,1,1 4
"After hearing opened, before issuance of intermediate re- port'",104,1 7,79,1 7,19,1 8,6,3 0,0,0
"After intermediate report, before issuance of Board decision",53,. 9,51,1 1,2,2,0,0,0,0
After Board order adopting intermediate report in ab- sence of exceptions,54,9,52,1 1,1,. 1,1,5,0,0
"After Board decision, before court decree",' 258,4 3,204,4 4,34,3 2,10,4 9,0,0
After Board order adopting intermediate report fol- lowed by circuit court decree,3,1,3,.1,0,0,0,0,0,0
"After circuit court decrees, before Supreme Court action_",' 155,26,129,28,17,1 6,2,1 0,0,
After Supreme Court action '_,7 27,5,20,4,5,5,1,5,0,
