Action / Recovery,Total all,Employer Total,Pursuant to Agreement of parties,Pursuant to Recommendation of trial examiner,Pursuant to Informal settlement,Pursuant to Order of Board,Pursuant to Order of Court
B. By number of employees affected — section subheader,,,,,,,
"Employees offered reinstatement, total",4274,4274,3383,113,168,374,236
Accepted,3436,3436,2693,94,113,218,118
Declined,838,838,690,19,55,156,118
Employees placed on preferential hiring list,566,566,446,98,2,4,16
Hiring hall rights restored,112,,,,,,
Objections to employment withdrawn,118,,,,,,
Employees receiving backpay: From either employer or union,13358,13815,9974,235,252,587,2767
"Employees reimbursed for fees, dues, and fines: From either employer or union",1308,950,622,107,62,105,54
"C. By amounts of monetary recovery, total — section subheader",,,,,,,
Total monetary recovery,3386460,3171720,1246290,108290,119650,898180,1090910
"Backpay (includes all monetary payments except fees, dues, and fines)",3268850,3147670,1237310,115720,118140,890650,1065790
"Reimbursement of fees, dues, and fines",37610,26810,8980,440,1510,7580,11750
