row_label,Amount
Personnel compensation,47691664
Personnel benefits,4889269
Travel and transportation of persons,3005546
Transportation of things,128944
"Rent, communications, and utilities",6385565
Printing and reproduction,759902
Other services,4312231
Supplies and materials,739618
Equipment,579486
Insurance claims and indemnities,21581
Total obligations and expenditures,68513806
Reimbursable obligations: Personnel compensation,17867
Reimbursable obligations: Personnel benefits,4846
Reimbursable obligations: Total obligations and expenditures,22713
